page,category,priority
https://convention.cim.org/,event,high
https://www.cim.org/featured-events/cim-convention/,event,high
https://www.cim.org/,homepage,high
https://www.cim.org/featured-events/cim-connect-convention-and-expo/,event,high
https://convention.cim.org/fr,event,medium
https://memo.cim.org/,subsite,medium
https://www.cim.org/events/,event,medium
https://mrr.cim.org/,subsite,medium
https://convention.cim.org/schedule,event,medium
https://magazine.cim.org/en/,publication,medium
https://mrmr.cim.org/en/library/magazine-articles/qualified-persons/,content,medium
https://www.cim.org/professional-development/short-courses/,education,medium
https://www.cim.org/past-award-winners/calibre-mining-corporation-valentine-gold-mine/,content,medium
https://mines-et-environnement.cim.org/,subsite,medium
https://convention.cim.org/expo,event,medium
https://www.cim.org/cim-scholarships/,student,medium
https://www.cim.org/events,event,medium
https://www.cim.org/membership/,membership,medium
https://convention.cim.org/register,conversion,high
https://capitalprojects.cim.org/,subsite,low
